Zeitpunkt;2026-02-07 21:07:12
Wellenlaenge;Dunkelwert (W/m2)
340;0.000000
341;0.000000
342;0.000000
343;0.000000
344;0.000000
345;0.000000
346;0.000000
347;0.000000
348;0.000000
349;0.000000
350;0.000000
351;0.000000
352;0.000000
353;0.000000
354;0.000000
355;0.000000
356;0.000000
357;0.000000
358;0.000000
359;0.000000
360;0.000000
361;0.000000
362;0.000000
363;0.000000
364;0.000000
365;0.000000
366;0.000000
367;0.000000
368;0.000000
369;0.000000
370;0.000000
371;0.000000
372;0.000000
373;0.000000
374;0.000000
375;0.000000
376;0.000000
377;0.000000
378;0.000000
379;0.000000
380;0.000000
381;0.000000
382;0.000000
383;0.000000
384;0.000000
385;0.000000
386;0.000000
387;0.000000
388;0.000000
389;0.000000
390;0.000000
391;0.000000
392;0.000000
393;0.000000
394;0.000000
395;0.000000
396;0.000000
397;0.000000
398;0.000000
399;0.000000
400;0.000000
401;0.000000
402;0.000000
403;0.000000
404;0.000000
405;0.000000
406;0.000000
407;0.000000
408;0.000000
409;0.000000
410;0.000000
411;0.000000
412;0.000000
413;0.000000
414;0.000000
415;0.000000
416;0.000000
417;0.000001
418;0.000000
419;0.000008
420;0.000014
421;0.000015
422;0.000016
423;0.000019
424;0.000025
425;0.000025
426;0.000024
427;0.000037
428;0.000050
429;0.000058
430;0.000070
431;0.000079
432;0.000093
433;0.000104
434;0.000120
435;0.000142
436;0.000163
437;0.000180
438;0.000205
439;0.000230
440;0.000259
441;0.000287
442;0.000326
443;0.000364
444;0.000408
445;0.000464
446;0.000529
447;0.000598
448;0.000670
449;0.000722
450;0.000784
451;0.000819
452;0.000835
453;0.000851
454;0.000839
455;0.000814
456;0.000770
457;0.000713
458;0.000632
459;0.000572
460;0.000528
461;0.000477
462;0.000434
463;0.000404
464;0.000379
465;0.000362
466;0.000343
467;0.000329
468;0.000319
469;0.000302
470;0.000282
471;0.000262
472;0.000241
473;0.000223
474;0.000206
475;0.000194
476;0.000182
477;0.000168
478;0.000159
479;0.000154
480;0.000152
481;0.000154
482;0.000153
483;0.000153
484;0.000155
485;0.000155
486;0.000156
487;0.000160
488;0.000165
489;0.000168
490;0.000174
491;0.000179
492;0.000189
493;0.000198
494;0.000209
495;0.000219
496;0.000230
497;0.000240
498;0.000249
499;0.000260
500;0.000272
501;0.000285
502;0.000302
503;0.000313
504;0.000323
505;0.000334
506;0.000348
507;0.000359
508;0.000371
509;0.000382
510;0.000390
511;0.000399
512;0.000409
513;0.000418
514;0.000426
515;0.000433
516;0.000438
517;0.000445
518;0.000451
519;0.000463
520;0.000472
521;0.000474
522;0.000482
523;0.000489
524;0.000493
525;0.000494
526;0.000496
527;0.000502
528;0.000507
529;0.000507
530;0.000516
531;0.000525
532;0.000524
533;0.000523
534;0.000527
535;0.000527
536;0.000528
537;0.000534
538;0.000542
539;0.000544
540;0.000541
541;0.000544
542;0.000550
543;0.000549
544;0.000545
545;0.000548
546;0.000556
547;0.000562
548;0.000563
549;0.000562
550;0.000569
