Zeitpunkt;2026-02-05 15:24:01
Wellenlaenge;Dunkelwert (W/m2)
340;0.000000
341;0.000000
342;0.000000
343;0.000000
344;0.000000
345;0.000000
346;0.000000
347;0.000008
348;0.000000
349;0.000000
350;0.000000
351;0.000000
352;0.000000
353;0.000000
354;0.000000
355;0.000000
356;0.000000
357;0.000000
358;0.000000
359;0.000000
360;0.000000
361;0.000000
362;0.000000
363;0.000000
364;0.000000
365;0.000000
366;0.000000
367;0.000000
368;0.000000
369;0.000000
370;0.000000
371;0.000000
372;0.000000
373;0.000000
374;0.000000
375;0.000000
376;0.000000
377;0.000000
378;0.000000
379;0.000000
380;0.000000
381;0.000000
382;0.000000
383;0.000000
384;0.000000
385;0.000000
386;0.000000
387;0.000000
388;0.000000
389;0.000000
390;0.000000
391;0.000000
392;0.000000
393;0.000000
394;0.000000
395;0.000000
396;0.000000
397;0.000000
398;0.000000
399;0.000000
400;0.000000
401;0.000000
402;0.000000
403;0.000000
404;0.000002
405;0.000000
406;0.000000
407;0.000000
408;0.000000
409;0.000000
410;0.000000
411;0.000000
412;0.000000
413;0.000000
414;0.000001
415;0.000000
416;0.000000
417;0.000000
418;0.000000
419;0.000000
420;0.000000
421;0.000000
422;0.000000
423;0.000000
424;0.000000
425;0.000000
426;0.000000
427;0.000000
428;0.000000
429;0.000000
430;0.000000
431;0.000000
432;0.000000
433;0.000000
434;0.000000
435;0.000000
436;0.000000
437;0.000000
438;0.000000
439;0.000000
440;0.000000
441;0.000000
442;0.000000
443;0.000000
444;0.000000
445;0.000000
446;0.000000
447;0.000000
448;0.000000
449;0.000001
450;0.000000
451;0.000002
452;0.000002
453;0.000000
454;0.000000
455;0.000001
456;0.000000
457;0.000001
458;0.000003
459;0.000000
460;0.000000
461;0.000001
462;0.000008
463;0.000009
464;0.000007
465;0.000010
466;0.000004
467;0.000002
468;0.000001
469;0.000000
470;0.000000
471;0.000000
472;0.000000
473;0.000000
474;0.000002
475;0.000000
476;0.000004
477;0.000000
478;0.000000
479;0.000000
480;0.000000
481;0.000003
482;0.000004
483;0.000004
484;0.000003
485;0.000003
486;0.000003
487;0.000000
488;0.000000
489;0.000002
490;0.000008
491;0.000007
492;0.000010
493;0.000003
494;0.000003
495;0.000003
496;0.000009
497;0.000008
498;0.000004
499;0.000004
500;0.000005
501;0.000005
502;0.000008
503;0.000009
504;0.000007
505;0.000005
506;0.000005
507;0.000008
508;0.000012
509;0.000009
510;0.000008
511;0.000004
512;0.000001
513;0.000003
514;0.000010
515;0.000014
516;0.000008
517;0.000008
518;0.000007
519;0.000007
520;0.000010
521;0.000007
522;0.000003
523;0.000006
524;0.000008
525;0.000006
526;0.000006
527;0.000012
528;0.000010
529;0.000003
530;0.000006
531;0.000011
532;0.000013
533;0.000009
534;0.000007
535;0.000003
536;0.000001
537;0.000003
538;0.000009
539;0.000007
540;0.000004
541;0.000004
542;0.000005
543;0.000005
544;0.000003
545;0.000004
546;0.000008
547;0.000004
548;0.000001
549;0.000004
550;0.000008
