Zeitpunkt;2026-01-13 14:54:16
Wellenlaenge;Dunkelwert (W/m2)
340;0.000000
341;0.000000
342;0.000000
343;0.000000
344;0.000000
345;0.000000
346;0.000000
347;0.000000
348;0.000000
349;0.000000
350;0.000000
351;0.000000
352;0.000000
353;0.000000
354;0.000000
355;0.000000
356;0.000000
357;0.000000
358;0.000000
359;0.000000
360;0.000000
361;0.000000
362;0.000000
363;0.000000
364;0.000000
365;0.000000
366;0.000000
367;0.000000
368;0.000000
369;0.000000
370;0.000000
371;0.000000
372;0.000000
373;0.000000
374;0.000000
375;0.000000
376;0.000000
377;0.000000
378;0.000000
379;0.000000
380;0.000000
381;0.000000
382;0.000000
383;0.000000
384;0.000000
385;0.000000
386;0.000000
387;0.000000
388;0.000000
389;0.000000
390;0.000000
391;0.000000
392;0.000000
393;0.000000
394;0.000000
395;0.000000
396;0.000000
397;0.000000
398;0.000000
399;0.000000
400;0.000000
401;0.000000
402;0.000000
403;0.000000
404;0.000000
405;0.000000
406;0.000000
407;0.000000
408;0.000000
409;0.000000
410;0.000000
411;0.000000
412;0.000000
413;0.000000
414;0.000000
415;0.000000
416;0.000000
417;0.000000
418;0.000000
419;0.000000
420;0.000000
421;0.000000
422;0.000000
423;0.000000
424;0.000000
425;0.000000
426;0.000000
427;0.000000
428;0.000000
429;0.000000
430;0.000000
431;0.000047
432;0.000044
433;0.000046
434;0.000065
435;0.000064
436;0.000067
437;0.000100
438;0.000127
439;0.000131
440;0.000149
441;0.000180
442;0.000208
443;0.000346
444;0.000398
445;0.000455
446;0.000466
447;0.000605
448;0.000748
449;0.000905
450;0.001027
451;0.001103
452;0.001130
453;0.001180
454;0.001197
455;0.001165
456;0.001283
457;0.001524
458;0.001080
459;0.000962
460;0.000823
461;0.000740
462;0.000741
463;0.000693
464;0.000543
465;0.000501
466;0.000413
467;0.000334
468;0.000397
469;0.000411
470;0.000328
471;0.000318
472;0.000221
473;0.000167
474;0.000152
475;0.000152
476;0.000190
477;0.000135
478;0.000104
479;0.000089
480;0.000102
481;0.000154
482;0.000186
483;0.000150
484;0.000091
485;0.000089
486;0.000105
487;0.000114
488;0.000111
489;0.000111
490;0.000108
491;0.000129
492;0.000193
493;0.000132
494;0.000136
495;0.000176
496;0.000195
497;0.000190
498;0.000173
499;0.000235
500;0.000292
501;0.000322
502;0.000412
503;0.000416
504;0.000357
505;0.000366
506;0.000418
507;0.000453
508;0.000468
509;0.000486
510;0.000500
511;0.000528
512;0.000496
513;0.000496
514;0.000550
515;0.000625
516;0.000599
517;0.000579
518;0.000623
519;0.000656
520;0.000663
521;0.000670
522;0.000700
523;0.000668
524;0.000696
525;0.000669
526;0.000664
527;0.000651
528;0.000677
529;0.000681
530;0.000710
531;0.000769
532;0.000943
533;0.000769
534;0.000737
535;0.000752
536;0.000719
537;0.000860
538;0.000953
539;0.000995
540;0.000913
541;0.000796
542;0.000788
543;0.000791
544;0.000789
545;0.000785
546;0.000809
547;0.000824
548;0.000825
549;0.000816
550;0.000917
